date,rate of arrest
pre,2019-08-24,0.1980440097799511
pre,2019-08-25,0.2261437908496732
pre,2019-08-26,0.2066115702479339
pre,2019-08-27,0.2161422708618331
pre,2019-08-28,0.21866666666666668
pre,2019-08-29,0.19170984455958548
pre,2019-08-30,0.24639580602883354
pre,2019-08-31,0.2467700258397933
pre,2019-09-01,0.22031963470319635
pre,2019-09-02,0.23840206185567012
pre,2019-09-03,0.2237037037037037
pre,2019-09-04,0.19472913616398244
pre,2019-09-05,0.22102009273570325
pre,2019-09-06,0.22178988326848248
pre,2019-09-07,0.22070844686648503
pre,2019-09-08,0.21388888888888888
pre,2019-09-09,0.2129032258064516
pre,2019-09-10,0.19390581717451524
pre,2019-09-11,0.23796791443850268
pre,2019-09-12,0.2050955414012739
pre,2019-09-13,0.2252141982864137
pre,2019-09-14,0.21756225425950196
pre,2019-09-15,0.19718309859154928
pre,2019-09-16,0.1982651796778191
pre,2019-09-17,0.19716494845360824
pre,2019-09-18,0.22015915119363394
pre,2019-09-19,0.22010178117048346
pre,2019-09-20,0.1931119311193112
pre,2019-09-21,0.19815059445178335
pre,2019-09-22,0.1902587519025875
pre,2019-09-23,0.18798955613577023
pre,2019-09-24,0.20849933598937584
pre,2019-09-25,0.2180028129395218
pre,2019-09-26,0.20985915492957746
pre,2019-09-27,0.1889055472263868
pre,2019-09-28,0.21602288984263232
pre,2019-09-29,0.17696629213483145
pre,2019-09-30,0.19414893617021275
pre,2019-10-01,0.19632606199770378
pre,2019-10-02,0.19008264462809918
pre,2019-10-03,0.19421487603305784
pre,2019-10-04,0.22268907563025211
pre,2019-10-05,0.21052631578947367
pre,2019-10-06,0.22205663189269748
pre,2019-10-07,0.21476510067114093
pre,2019-10-08,0.19127988748241911
pre,2019-10-09,0.2273972602739726
pre,2019-10-10,0.20155038759689922
pre,2019-10-11,0.23076923076923078
pre,2019-10-12,0.22359396433470508
pre,2019-10-13,0.1867816091954023
pre,2019-10-14,0.23538011695906433
pre,2019-10-15,0.18267929634641408
pre,2019-10-16,0.18673883626522328
pre,2019-10-17,0.1985185185185185
pre,2019-10-18,0.18634423897581792
pre,2019-10-19,0.20868347338935575
pre,2019-10-20,0.1955617198335645
pre,2019-10-21,0.16033755274261605
pre,2019-10-22,0.2015151515151515
