ARSON
    index         ds       yhat  yhat_lower  yhat_upper
3      99 2013-04-01  1297.888230   985.812111  1630.077393
4     100 2013-05-01  1505.415868  1194.305813  1830.880885
5     101 2013-06-01  1489.172017  1178.606182  1812.264055
6     102 2013-07-01  1512.404202  1186.847599  1839.169938
7     103 2013-08-01  1523.572748  1200.540961  1837.212758
8     104 2013-09-01  1436.262791  1100.508366  1744.261274
9     105 2013-10-01  1559.247235  1223.775342  1891.479844
10    106 2013-11-01  1446.825432  1128.745124  1772.083530
11    107 2013-12-01  1460.170825  1161.548636  1764.468917
12    108 2014-01-01  1477.292861  1169.956112  1773.790270
13    109 2014-02-01  1156.738892   833.995952  1480.899895
14    110 2014-03-01  1381.372764  1046.900513  1692.728078
15    111 2014-04-01  1399.667752  1112.795735  1709.194524
16    112 2014-05-01  1477.754333  1167.893527  1794.370843
17    113 2014-06-01  1471.492857  1145.927730  1774.157838
18    114 2014-07-01  1558.662970  1244.108356  1852.493423
19    115 2014-08-01  1548.904380  1248.925174  1852.150304
20    116 2014-09-01  1379.845760  1070.908567  1702.525865
21    117 2014-10-01  1554.676403  1246.967759  1861.047030
22    118 2014-11-01  1416.668163  1092.527046  1748.692677
23    119 2014-12-01  1444.485328  1091.500414  1760.829510
